59,32,103,77,19,24,15,24,7,15,8,1,1,1,1
75,50,92,30,13,9,11,10,1,11,6,0,0,1,1
31,0,101,115,21,25,17,24,4,16,9,1,0,0,1
77,56,87,74,13,19,9,5,5,16,6,0,0,0,0
84,101,83,39,17,12,13,14,3,15,4,1,1,0,1
12,60,39,105,13,21,14,12,11,12,12,0,1,0,0
78,80,27,89,7,14,15,20,3,16,5,0,0,0,0
96,86,103,74,12,10,12,7,6,20,4,0,0,0,0
73,23,96,78,21,19,28,24,3,14,5,2,0,1,0
13,28,73,75,19,10,10,12,4,8,10,0,0,0,1
67,77,19,59,11,16,13,12,4,14,5,1,0,0,0
38,68,53,51,16,17,16,21,6,14,12,0,0,0,0
37,95,111,72,11,17,22,15,9,18,10,0,0,0,0
27,64,90,69,33,33,33,41,12,27,12,0,0,0,1
83,0,85,96,11,12,5,9,6,16,8,0,1,0,0
32,52,111,75,24,29,18,19,14,17,13,0,0,2,0
134,13,49,23,18,15,10,17,13,14,15,1,1,1,0
82,106,40,72,9,18,21,12,12,15,10,0,0,0,0
61,47,40,32,14,21,20,5,2,11,9,0,0,0,0
43,45,57,51,22,23,18,21,10,10,15,0,0,0,0
10,51,24,76,15,9,13,11,2,10,5,1,1,0,0
82,51,0,87,24,15,29,22,7,13,11,0,0,0,0
136,34,85,32,35,20,15,26,13,17,13,1,0,0,0
78,44,85,76,20,12,13,12,4,17,6,0,0,0,0
76,0,61,70,16,12,9,13,7,15,8,2,0,1,1
55,7,3,24,18,7,9,11,3,7,7,2,1,1,1
53,147,69,23,29,19,24,18,13,20,17,1,0,0,0
3,89,85,26,18,21,19,29,10,13,15,0,0,0,0
88,84,35,84,26,28,16,19,12,21,8,0,0,0,0
81,8,0,82,15,18,15,23,2,9,6,1,0,0,0
88,0,2,122,23,23,21,22,6,9,6,0,1,0,0
30,101,26,40,17,23,26,27,5,13,9,0,0,1,0
89,42,67,30,25,26,27,17,20,18,19,0,0,0,0
96,24,18,8,16,17,23,15,3,10,9,1,0,0,0
26,96,0,97,10,16,22,14,8,16,13,0,1,0,0
57,0,80,300,24,27,22,14,19,21,20,1,1,0,0
28,84,47,57,18,20,13,13,4,12,10,0,0,2,0
