0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,1,100,0,2,2,100,0,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,1,100,0,2,2,100,0
1,0,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,-1,-1,80,0,1,1,100,0,5,0,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,-1,-1,80,0,1,1,100,0
2,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,-2,-2,80,0,-1,-1,50,50,6,10,10,10,0,0,0,0,0,10,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,80,0,-2,-2,80,0,-1,-1,50,50
3,10,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,-100,-100,-100,0,-2,-2,50,50,6,10,0,10,0,0,0,0,0,10,10,20,0,0,0,0,0,20,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,80,0,-100,-100,-100,0,-2,-2,50,50
0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,10,0,0,0,0,0,10,10,20,0,0,80,0,1,1,50,50,2,2,80,0,6,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,20,20,0,0,0,0,0,20,0,10,0,0,0,0,0,10,10,20,0,0,60,0,1,1,50,50,2,2,80,0
1,0,0,20,0,0,0,0,0,20,20,20,0,0,0,0,0,20,0,10,0,0,0,0,0,10,10,20,0,0,0,0,0,20,10,10,0,0,50,50,-1,-1,60,0,1,1,80,0,0,0,20,20,20,0,0,0,0,0,20,0,10,0,0,0,0,0,10,10,20,0,0,0,0,0,20,10,10,0,0,0,0,0,10,0,0,0,49,50,-1,-2,60,0,1,0,80,0
2,20,20,20,0,0,0,0,0,20,0,10,0,0,0,0,0,10,10,20,0,0,0,0,0,20,10,10,0,0,0,0,0,10,0,0,0,0,80,0,-2,-2,60,0,-1,0,49,50,6,20,20,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,20,30,0,0,0,0,0,30,10,10,0,0,0,0,0,10,0,0,0,0,60,0,-2,-2,60,0,-1,0,49,50
3,20,0,20,0,0,0,0,0,20,20,30,0,0,0,0,0,30,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,80,0,-100,-100,-100,0,-2,-1,49,50,2,0,20,0,0,0,0,0,20,20,30,0,0,0,0,0,30,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,-100,-100,-100,0,-3,-1,49,50
0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,20,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,20,30,0,0,60,0,1,2,49,50,2,2,60,0,6,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,30,30,0,0,0,0,0,30,0,20,0,0,0,0,0,20,20,30,0,0,40,0,1,2,49,50,2,2,60,0
1,0,30,30,30,0,0,0,0,0,30,0,20,0,0,0,0,0,20,20,30,0,0,0,0,0,30,10,10,0,0,0,0,0,10,0,0,0,49,50,-1,-2,40,0,1,0,60,0,2,30,30,30,0,0,0,0,0,30,0,20,0,0,0,0,0,20,20,30,0,0,0,0,0,30,10,10,0,0,0,0,0,10,0,0,0,0,48,50,-2,-2,40,0,0,0,60,0
2,30,30,30,0,0,0,0,0,30,0,20,0,0,0,0,0,20,20,30,0,0,0,0,0,30,10,10,0,0,0,0,0,10,0,0,0,0,60,0,-2,-2,40,0,0,0,48,50,6,30,30,30,0,0,0,0,0,30,0,30,0,0,0,0,0,30,30,40,0,0,0,0,0,40,10,10,0,0,0,0,0,10,0,0,0,0,40,0,-2,-2,40,0,0,0,48,50
3,0,30,0,0,0,0,0,30,30,40,0,0,0,0,0,40,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,-100,-100,-100,0,-2,-1,48,50,0,30,30,40,0,0,0,0,0,40,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,-100,-100,-100,0,-2,-2,48,50
0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,30,30,0,0,0,0,0,30,0,30,0,0,0,0,0,30,30,40,0,0,40,0,2,2,48,50,2,2,40,0,3,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,30,30,0,0,0,0,0,30,0,30,0,0,0,0,0,30,30,0,0,39,0,3,2,48,50,3,2,40,0
1,30,30,30,0,0,0,0,0,30,0,30,0,0,0,0,0,30,30,40,0,0,0,0,0,40,10,10,0,0,0,0,0,10,0,0,0,0,48,50,-3,-2,39,0,0,0,40,0,5,30,30,30,0,0,0,0,0,30,0,30,0,0,0,0,0,30,30,40,0,0,0,0,0,40,10,10,0,0,0,0,0,10,0,0,0,0,24,74,-3,-2,39,0,0,0,40,0
2,30,30,30,0,0,0,0,0,30,0,30,0,0,0,0,0,30,30,40,0,0,0,0,0,40,10,10,0,0,0,0,0,10,0,0,0,0,40,0,-3,-2,39,0,0,0,24,74,6,30,30,30,0,0,0,0,0,30,0,40,0,0,0,0,0,40,40,50,0,0,0,0,0,50,10,10,0,0,0,0,0,10,0,0,0,0,20,0,-3,-2,39,0,0,0,24,74
3,40,40,50,0,0,0,0,0,50,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,-100,-100,-100,0,-2,-2,24,74,1,0,40,0,0,0,0,0,40,40,50,0,0,0,0,0,50,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,-100,-100,-100,0,-2,-1,24,74
