86,83,30,95,8,10,13,10,1,13,3,0,1,0,0
48,86,80,71,8,4,12,3,2,9,5,0,2,0,0
72,60,84,78,25,28,9,14,1,13,2,0,0,1,0
96,74,82,40,8,14,14,22,3,20,7,0,0,1,0
89,87,40,42,22,20,20,31,10,15,10,0,0,0,1
64,61,53,70,17,6,9,10,1,14,6,0,0,0,0
71,73,57,67,20,27,14,26,6,15,5,0,0,0,0
88,53,84,20,16,15,16,18,3,15,7,0,0,0,0
74,67,105,93,18,15,7,11,3,22,2,0,0,0,0
70,43,44,56,13,21,18,15,4,12,9,0,0,0,0
71,78,72,74,10,10,8,17,4,16,6,0,0,0,0
68,64,78,69,7,15,22,17,4,16,7,0,0,1,0
84,73,48,23,15,11,11,15,4,12,8,0,0,1,0
76,70,73,84,11,11,9,15,5,15,6,0,1,0,0
45,124,49,79,12,20,17,14,8,16,7,0,0,0,0
69,61,72,92,12,6,11,17,0,13,3,0,0,0,0
58,83,53,52,21,14,19,20,6,14,7,0,0,0,0
76,72,55,96,19,4,16,12,3,15,4,0,0,0,0
57,106,50,72,9,10,13,10,4,14,4,0,1,0,0
89,92,48,62,14,14,12,9,2,16,5,0,0,0,0
90,24,81,81,15,9,19,21,3,18,5,0,0,1,0
104,24,69,30,15,12,10,11,1,13,7,1,0,0,0
46,74,49,83,28,12,16,22,3,17,6,0,0,0,0
70,36,85,48,17,16,14,14,5,14,8,0,0,0,0
92,64,78,19,17,11,9,10,6,15,11,0,0,0,0
58,48,36,27,22,14,15,20,3,10,11,0,0,1,0
70,101,75,84,13,13,12,12,4,17,3,0,0,0,0
44,96,89,80,18,21,16,16,3,17,3,0,0,0,0
16,81,58,21,23,20,39,32,4,15,8,0,0,0,0
69,53,56,52,21,22,24,23,3,11,6,0,0,0,0
47,63,72,88,32,20,64,34,11,16,7,0,0,0,0
18,27,78,88,25,22,24,38,1,10,5,0,0,0,0
7,26,34,8,57,57,14,17,6,12,13,0,0,0,0
51,84,75,55,32,10,13,20,5,17,6,0,0,0,0
13,74,73,58,22,36,25,49,2,12,4,0,0,1,0
0,60,56,58,23,25,56,52,4,11,8,0,0,0,0
8,47,73,59,36,41,37,29,5,10,9,0,0,0,0
32,117,60,51,69,18,16,28,10,22,12,0,0,1,0
23,69,85,36,21,22,20,64,2,10,4,0,0,0,1
71,57,80,53,17,11,23,18,7,16,8,0,0,0,0
49,89,61,24,24,14,16,20,1,19,1,1,1,0,0
32,55,96,49,20,53,16,13,5,15,7,1,1,0,0
45,130,0,62,7,64,5,8,4,15,4,0,1,0,0
56,90,53,62,13,51,5,10,4,15,5,0,0,0,0
68,56,82,60,19,41,13,11,2,19,4,0,0,1,0
90,78,78,142,5,20,16,11,3,24,4,1,1,0,0
75,52,21,42,14,28,12,16,1,14,8,0,0,1,0
97,93,23,74,13,14,8,8,3,18,5,0,0,0,0
94,74,74,65,7,14,11,11,1,20,3,0,0,0,0
97,75,67,76,4,5,7,9,0,17,3,0,0,0,0
93,51,125,32,14,20,16,19,11,20,9,0,0,0,0
94,41,47,45,10,24,17,22,1,16,6,0,0,0,0
96,46,5,31,11,14,9,12,4,16,6,1,0,1,0
97,67,79,51,7,9,7,13,3,18,6,0,0,0,0
82,94,10,69,15,30,10,10,3,17,6,0,0,1,0
85,54,100,0,11,23,6,7,5,14,7,0,1,0,0
81,6,61,45,12,24,16,15,1,15,8,0,0,0,0
