0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,1,100,0,2,2,100,0,-100,-100,0,0,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1,2,100,0,-100,-100,0,0,-100,-100,0,0,500
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,-1,-2,99,0,1,1,100,0,2,2,100,0,499,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,80,0,-1,-2,99,0,1,1,100,0,2,2,100,0,499
2,0,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,-100,-100,0,0,-1,-1,80,0,1,1,100,0,498,3,0,0,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,-100,-100,0,0,0,-1,80,0,2,1,100,0,498
3,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,-100,-100,0,0,-2,-2,80,0,-2,-1,99,0,497,6,10,10,10,0,0,0,0,0,10,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,80,0,-100,-100,0,0,-2,-2,80,0,-2,-1,99,0,497
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,10,0,0,0,99,0,1,2,80,0,-100,-100,0,0,-100,-100,0,0,496,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,10,0,0,0,0,0,10,10,10,0,0,0,79,0,1,2,80,0,-100,-100,0,0,-100,-100,0,0,496
1,0,10,10,10,0,0,0,0,0,10,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,10,0,0,0,0,0,10,10,10,0,0,80,0,-1,-2,79,0,0,1,99,0,2,2,80,0,495,6,0,10,10,10,0,0,0,0,0,10,20,0,0,0,0,0,20,20,20,0,0,0,0,0,20,0,10,0,0,0,0,0,10,10,10,0,0,60,0,-1,-2,79,0,0,1,99,0,2,2,80,0,495
2,0,0,10,20,0,0,0,0,0,20,20,20,0,0,0,0,0,20,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,0,0,99,0,-100,-100,0,0,0,-1,60,0,2,1,80,0,494,0,0,0,20,20,20,0,0,0,0,0,20,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,98,0,-100,-100,0,0,0,-2,60,0,2,0,80,0,494
3,20,20,20,0,0,0,0,0,20,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,80,0,-100,-100,0,0,-2,-2,60,0,-2,0,98,0,493,6,20,20,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,20,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,60,0,-100,-100,0,0,-2,-2,60,0,-2,0,98,0,493
0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,20,0,0,0,0,0,20,20,20,0,0,0,79,0,1,2,60,0,-100,-100,0,0,-100,-100,0,0,492,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,10,0,0,0,0,0,10,20,0,0,0,0,0,20,20,20,0,0,0,0,78,0,0,2,60,0,-100,-100,0,0,-100,-100,0,0,492
1,0,10,10,10,0,0,0,0,0,10,20,0,0,0,0,0,20,20,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,20,20,0,0,60,0,0,-2,78,0,0,2,98,0,2,2,60,0,491,2,10,10,10,0,0,0,0,0,10,20,0,0,0,0,0,20,20,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,20,20,0,0,0,59,0,-1,-2,78,0,-1,2,98,0,1,2,60,0,491
