69,26,68,56,19,30,14,14,7,13,9,1,0,1,0
80,70,72,70,11,10,19,18,8,12,6,0,1,0,0
103,48,95,89,15,16,8,14,5,17,2,1,1,0,0
71,73,73,39,13,22,14,13,4,13,7,0,1,0,0
102,48,76,79,14,12,11,14,2,14,2,0,1,0,0
50,93,90,88,7,9,9,14,0,16,2,0,0,0,0
114,84,36,69,14,18,20,18,6,16,7,0,1,0,0
92,48,73,83,14,19,12,19,4,21,5,0,0,0,0
75,74,69,6,8,9,11,18,2,12,8,0,0,0,0
66,40,18,73,14,12,15,10,5,15,7,5,0,1,1
57,60,58,47,27,24,15,21,15,18,14,2,0,0,0
93,0,65,56,14,9,12,8,0,12,1,1,1,1,0
76,67,82,70,13,25,21,16,5,15,4,0,0,0,1
66,48,75,88,9,15,8,11,5,15,7,0,0,0,0
83,36,29,90,8,10,11,8,1,11,6,0,1,0,0
79,89,53,0,15,13,15,12,6,9,8,0,1,0,0
145,52,76,39,23,25,25,19,13,14,11,0,2,0,0
91,81,88,58,7,14,9,12,2,19,3,0,0,0,0
103,40,47,28,23,16,20,13,4,15,10,0,0,0,0
47,64,100,75,23,18,21,17,5,14,4,0,0,0,0
92,74,77,69,20,16,23,23,6,18,6,1,0,0,0
66,83,38,101,29,15,19,19,5,19,5,0,0,0,0
70,46,83,64,17,19,18,20,8,14,8,0,0,1,0
41,53,0,88,14,15,16,13,7,9,13,0,0,0,0
0,107,4,50,27,31,34,37,7,14,16,0,0,1,0
37,66,94,91,9,8,7,9,4,15,6,0,0,0,0
50,84,104,59,21,26,18,28,9,15,8,0,1,0,0
61,70,11,95,22,22,25,36,12,17,9,2,0,0,0
38,58,68,78,16,24,16,22,7,14,8,0,0,0,0
67,39,52,32,22,25,14,19,6,11,10,0,0,0,0
124,47,28,50,19,14,12,12,8,17,10,0,1,1,0
158,76,50,74,15,21,23,26,14,18,13,2,1,2,0
47,66,76,101,20,33,24,23,17,18,15,0,0,0,0
72,86,83,4,10,19,12,14,2,11,7,0,0,0,0
119,69,73,23,12,16,10,12,7,13,9,2,1,0,1
74,30,120,44,22,20,27,15,11,15,8,2,1,1,0
84,0,142,65,15,12,8,10,7,14,4,0,2,0,0
90,91,87,75,18,13,23,23,9,23,4,0,0,1,0
86,26,49,88,25,27,24,25,4,11,5,0,0,0,0
89,75,59,73,17,18,18,21,11,16,9,0,1,0,0
51,92,0,80,25,46,23,13,10,11,10,0,0,1,0
4,125,98,22,40,43,31,46,16,18,17,1,1,0,0
66,90,52,75,33,22,19,23,15,17,12,0,0,0,0
72,7,58,79,15,18,18,11,5,14,9,0,1,1,0
51,62,43,77,21,21,22,34,7,14,7,0,0,0,0
213,0,174,97,20,19,20,24,26,27,17,0,1,0,0
55,113,72,73,25,15,27,30,9,16,6,0,0,0,0
132,9,10,77,12,9,23,6,6,12,11,0,0,0,0
87,55,49,86,15,19,23,26,10,13,9,0,0,0,0
67,88,6,10,13,19,45,29,6,12,11,1,0,0,0
73,28,50,175,26,29,13,28,16,18,13,0,0,0,0
156,15,12,6,17,22,17,18,11,15,12,1,0,0,1
86,52,57,93,14,18,18,32,9,19,9,0,0,0,0
48,141,59,0,17,23,20,20,14,14,20,0,1,0,0
104,34,34,53,18,18,15,34,5,13,12,0,0,0,0
90,39,5,115,14,23,21,25,13,11,17,0,1,2,0
69,10,0,119,17,19,33,44,23,16,28,0,1,0,1
255,29,40,49,44,37,42,42,54,14,39,0,1,0,0
59,4,56,30,23,15,23,30,9,11,18,0,0,0,0
130,96,28,73,48,25,55,25,34,23,25,0,0,0,0
49,21,79,50,17,18,15,9,4,9,12,0,1,0,1
59,125,70,79,16,24,22,15,13,20,9,0,1,0,0
74,97,118,41,19,20,30,25,18,20,17,0,2,0,0
0,81,85,106,27,9,15,29,7,12,6,0,1,0,0
131,57,86,3,41,41,17,24,24,18,22,0,0,0,0
68,24,101,51,26,19,23,20,14,17,15,0,1,0,0
43,11,34,247,30,31,31,34,32,26,27,2,1,1,0
0,48,46,35,20,22,9,20,2,6,11,0,0,0,0
146,239,0,68,38,34,29,40,32,23,39,0,1,0,0
54,123,0,34,15,18,14,16,4,10,7,0,1,0,0
86,91,73,163,31,25,27,44,32,20,20,0,0,1,1
0,76,79,85,46,41,35,38,28,17,21,0,0,0,0
25,94,120,0,13,14,25,19,11,9,11,1,2,1,1
57,158,52,5,18,26,56,48,27,14,29,0,0,1,0
897,16,155,0,84,83,59,53,115,35,68,2,1,0,0
88,113,56,29,14,20,10,19,7,11,9,0,1,0,0
54,246,240,241,72,77,73,78,87,31,67,13,0,1,1
0,199,76,52,25,24,17,30,10,14,11,0,0,0,0
34,103,49,63,33,33,34,57,41,14,23,0,1,1,0
97,74,87,0,35,40,22,31,18,11,18,2,1,0,0
86,48,47,52,28,14,3,7,10,9,15,0,1,0,0
78,119,62,60,14,33,38,26,21,16,19,0,0,0,0
51,52,70,140,23,29,62,24,32,18,19,0,0,1,0
126,743,74,16,55,77,47,63,139,26,93,0,0,0,0
106,166,32,38,44,40,37,59,48,16,35,0,0,0,0
177,24,38,254,50,59,55,54,45,24,34,4,0,2,1
324,45,12,71,22,24,32,39,42,16,28,0,1,1,0
48,64,37,128,48,26,27,42,29,17,23,0,0,1,0
83,217,21,36,40,37,44,44,33,20,26,4,1,2,1
422,58,50,18,80,73,54,60,71,21,38,0,0,0,1
79,79,55,29,13,14,31,20,19,13,15,0,0,0,0
66,19,61,110,20,24,46,24,24,14,18,0,0,0,0
55,361,15,75,56,62,40,55,75,20,71,2,0,0,0
55,62,48,29,25,41,23,27,5,12,8,0,0,0,0
85,9,39,55,20,38,37,29,34,16,26,0,0,0,0
0,0,8,194,15,31,23,26,22,8,18,0,2,0,0
111,140,83,62,20,36,28,35,55,19,44,1,1,0,1
0,110,0,535,73,62,66,70,133,16,79,0,1,0,0
10,252,30,2,47,35,59,21,51,15,37,1,0,1,0
307,0,0,28,18,24,36,33,85,8,92,1,2,0,1
56,46,27,1,58,37,23,19,12,7,18,0,0,0,0
0,655,45,2,45,49,49,50,169,19,117,1,1,0,0
160,1,9,8,46,38,27,18,23,9,30,0,1,1,0
158,294,51,29,77,50,81,56,67,22,61,1,0,1,1
167,136,80,60,53,33,47,81,60,21,34,0,0,0,0
235,49,50,512,53,42,76,54,130,27,112,3,2,1,0
46,37,43,34,49,28,33,30,15,7,13,0,0,0,0
122,161,0,100,73,89,55,66,113,19,83,2,1,0,0
152,33,15,89,103,89,59,51,118,12,66,2,0,0,0
0,91,137,0,16,10,25,11,8,8,13,1,1,0,0
