66,74,35,69,13,22,13,8,2,16,6,0,0,0,0
82,79,39,54,13,12,24,17,6,15,7,0,0,0,0
67,52,0,76,16,12,11,12,4,12,4,1,1,0,0
0,35,88,49,11,12,16,10,2,8,5,1,0,0,0
69,0,51,94,13,13,6,8,4,9,9,0,1,0,0
125,50,65,67,12,9,16,20,4,15,6,1,1,0,0
29,78,66,73,8,14,15,13,7,12,11,0,1,0,0
94,3,30,85,17,22,16,14,3,14,7,0,0,0,1
48,38,84,82,18,17,12,19,3,14,7,0,1,0,1
76,59,84,61,12,9,13,9,6,13,7,0,1,0,0
73,72,93,97,13,10,9,12,4,21,3,0,1,0,0
66,91,89,64,9,13,23,15,3,18,4,0,0,0,0
41,78,90,98,13,10,15,20,5,15,9,1,0,1,0
110,73,48,0,16,14,12,12,6,12,6,1,1,0,0
9,76,39,44,18,15,3,16,1,13,10,0,0,0,0
28,87,61,27,20,18,17,12,4,15,10,0,0,0,0
73,58,12,56,10,17,18,16,6,10,13,0,0,0,0
67,8,79,61,18,20,20,16,1,11,7,0,0,0,0
63,88,84,78,14,17,16,7,6,16,6,0,1,0,0
4,65,54,72,18,22,21,22,9,11,12,1,0,0,0
86,59,125,68,23,28,12,19,14,21,14,0,0,0,0
14,80,83,94,20,7,10,12,2,17,5,0,0,0,0
33,74,3,161,20,24,11,12,9,16,16,2,1,1,1
0,78,100,93,11,15,8,19,9,12,7,0,2,0,0
52,26,32,49,14,18,8,11,4,9,12,0,0,0,0
71,53,47,61,19,21,16,16,11,14,19,0,0,1,0
50,95,52,39,20,13,11,10,6,14,10,0,0,0,0
62,99,16,44,20,9,23,17,7,20,10,0,0,0,0
80,78,84,63,22,20,27,16,14,20,10,0,0,0,0
80,37,102,65,14,22,13,17,10,15,8,0,0,1,0
55,67,58,86,19,17,14,14,1,14,4,0,0,0,0
86,82,89,75,30,23,33,32,11,19,6,0,0,0,0
5,59,67,54,19,24,33,19,6,14,10,0,0,0,0
110,0,167,49,18,15,15,22,13,13,13,0,1,0,0
65,87,62,9,10,9,8,13,4,11,10,0,1,0,0
60,0,66,58,4,9,5,8,4,11,10,0,1,0,1
33,75,57,49,8,18,6,14,5,12,12,0,0,0,0
59,20,99,45,15,19,10,13,14,21,20,0,0,0,0
14,71,88,71,10,10,5,11,5,19,10,0,0,0,0
1,6,45,138,16,14,11,14,7,12,16,1,1,1,1
8,9,15,15,11,11,12,16,4,13,17,1,0,2,0
63,80,60,68,17,16,8,13,6,20,7,0,0,0,0
39,72,35,13,9,15,16,18,8,13,19,0,0,0,0
19,31,108,67,25,20,9,21,10,17,15,0,0,0,0
29,55,21,74,5,14,9,13,4,13,13,0,0,1,0
28,14,50,78,8,16,9,14,9,14,9,2,1,0,0
46,75,90,50,16,10,23,21,13,22,20,3,1,0,1
46,12,54,13,8,5,7,15,3,12,14,0,0,0,0
50,36,12,59,10,10,15,28,5,12,14,0,0,0,0
23,77,50,64,10,10,11,17,7,10,18,0,1,0,0
77,139,16,5,8,4,16,13,14,19,31,1,0,0,0
68,76,21,115,7,10,11,12,8,19,10,0,0,1,0
0,87,92,70,6,15,6,7,10,18,12,0,1,0,0
52,11,50,32,7,8,8,8,5,10,17,1,0,0,0
54,39,52,76,9,7,12,11,6,16,14,0,0,0,1
31,74,76,65,10,17,9,18,8,22,15,0,0,0,0
10,10,28,67,14,18,11,12,7,16,18,0,0,0,0
55,30,42,108,7,12,13,16,6,18,17,1,0,0,1
7,8,65,56,8,10,6,10,3,12,15,0,0,0,0
42,65,36,107,8,16,12,24,8,26,13,0,0,0,0
125,62,25,51,11,12,14,8,15,18,26,0,1,1,0
49,86,9,67,8,10,11,16,13,14,32,0,1,0,1
2,32,0,100,4,8,12,13,5,12,17,0,1,0,0
1,90,15,3,12,10,5,14,1,12,13,0,0,0,0
69,14,55,90,2,7,9,16,5,18,9,1,0,0,0
47,5,57,45,4,7,4,9,1,13,11,1,0,0,2
28,36,12,33,7,16,8,10,5,14,18,0,0,0,0
4,76,36,14,7,7,5,11,3,17,17,0,0,0,0
6,16,37,85,5,4,4,12,7,12,22,1,1,0,0
36,14,60,47,8,6,12,7,3,16,15,0,0,0,0
21,11,139,54,12,8,10,17,3,17,12,1,0,0,0
30,32,57,15,4,7,10,5,3,13,16,0,0,1,0
45,81,75,8,8,9,10,14,5,17,16,0,0,0,1
3,37,54,59,4,10,6,7,4,17,18,0,0,1,0
66,62,34,20,5,7,3,18,8,22,14,1,0,0,0
69,63,55,18,5,8,5,7,3,19,12,0,0,0,0
35,46,57,54,6,7,4,11,5,13,15,0,0,0,0
95,47,44,52,8,16,8,10,13,23,21,0,0,0,1
67,14,54,55,6,2,9,3,1,16,10,0,0,0,0
34,55,31,19,8,4,6,6,2,23,13,0,0,0,0
55,11,55,110,9,3,7,10,3,17,13,0,0,0,0
15,13,0,70,2,6,5,4,5,11,20,0,1,0,1
78,40,13,5,5,7,10,12,11,25,25,0,0,0,0
55,60,50,11,4,9,9,2,2,10,11,0,1,0,1
14,19,34,19,14,5,5,6,7,18,25,0,0,0,1
23,4,8,31,7,3,11,3,8,10,26,0,0,0,0
13,76,103,35,2,9,10,2,3,18,11,0,0,0,0
0,30,1,45,6,7,8,9,4,11,19,0,1,0,0
27,114,14,55,8,8,6,9,1,19,14,1,0,1,1
10,15,35,25,6,7,7,6,2,18,15,0,0,0,0
17,93,25,45,8,5,4,3,5,24,17,0,0,0,0
